/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:17.9 CYCLES:25385 ICOUNT:1417 IHITRATE: 0.0 DHITRATE: 3.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:18.0 CYCLES:25517 ICOUNT:1417 IHITRATE: 0.0 DHITRATE: 3.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:17.8 CYCLES:25229 ICOUNT:1417 IHITRATE: 0.0 DHITRATE: 4.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:17.9 CYCLES:25361 ICOUNT:1417 IHITRATE: 0.0 DHITRATE: 3.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:17.8 CYCLES:25229 ICOUNT:1417 IHITRATE: 0.0 DHITRATE: 4.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:17.8 CYCLES:25205 ICOUNT:1417 IHITRATE: 0.0 DHITRATE: 4.1
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:17.8 CYCLES:25265 ICOUNT:1417 IHITRATE: 0.0 DHITRATE: 4.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:17.8 CYCLES:25205 ICOUNT:1417 IHITRATE: 0.0 DHITRATE: 4.1
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:18.0 CYCLES:25505 ICOUNT:1417 IHITRATE: 0.0 DHITRATE: 3.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:17.9 CYCLES:25385 ICOUNT:1417 IHITRATE: 0.0 DHITRATE: 3.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:17.9 CYCLES:25385 ICOUNT:1417 IHITRATE: 0.0 DHITRATE: 3.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:18.0 CYCLES:25517 ICOUNT:1417 IHITRATE: 0.0 DHITRATE: 3.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:17.8 CYCLES:25229 ICOUNT:1417 IHITRATE: 0.0 DHITRATE: 4.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:24.5 CYCLES:245 ICOUNT:10 IHITRATE: 0.0 DHITRATE: 0.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:40.1 CYCLES:281 ICOUNT:7 IHITRATE: 0.0 DHITRATE: 0.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:16.5 CYCLES:149 ICOUNT:9 IHITRATE: 0.0 DHITRATE: 0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:33.2 CYCLES:233 ICOUNT:7 IHITRATE: 0.0 DHITRATE: 0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:17.3 CYCLES:173 ICOUNT:10 IHITRATE: 0.0 DHITRATE: 7.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:35.0 CYCLES:245 ICOUNT:7 IHITRATE: 0.0 DHITRATE: 6.5
