 
****************************************
Report : cell
Design : proc
Version: B-2008.09-SP3
Date   : Thu Mar 17 10:45:26 2016
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
PC[0]                     dff_128                         14.079000 h, n
PC[1]                     dff_129                         14.079000 h, n
PC[2]                     dff_130                         14.079000 h, n
PC[3]                     dff_131                         14.079000 h, n
U255                      BUFX2           gscl45nm        2.346500  
U256                      AND2X2          gscl45nm        2.815800  
U257                      INVX1           gscl45nm        1.407900  
U258                      INVX1           gscl45nm        1.407900  
U259                      INVX1           gscl45nm        1.407900  
U260                      AND2X2          gscl45nm        2.815800  
U261                      INVX1           gscl45nm        1.407900  
U262                      AND2X2          gscl45nm        2.815800  
U263                      INVX1           gscl45nm        1.407900  
U264                      INVX1           gscl45nm        1.407900  
U265                      AND2X2          gscl45nm        2.815800  
U266                      INVX1           gscl45nm        1.407900  
U267                      AND2X2          gscl45nm        2.815800  
U268                      INVX1           gscl45nm        1.407900  
U269                      AND2X2          gscl45nm        2.815800  
U270                      INVX1           gscl45nm        1.407900  
U271                      AND2X2          gscl45nm        2.815800  
U272                      INVX1           gscl45nm        1.407900  
U273                      AND2X2          gscl45nm        2.815800  
U274                      INVX1           gscl45nm        1.407900  
U275                      BUFX2           gscl45nm        2.346500  
U276                      BUFX2           gscl45nm        2.346500  
U277                      BUFX2           gscl45nm        2.346500  
U278                      BUFX2           gscl45nm        2.346500  
U279                      BUFX2           gscl45nm        2.346500  
U280                      OR2X2           gscl45nm        2.815800  
U281                      INVX1           gscl45nm        1.407900  
U282                      OR2X2           gscl45nm        2.815800  
U283                      INVX1           gscl45nm        1.407900  
U284                      BUFX2           gscl45nm        2.346500  
U285                      BUFX2           gscl45nm        2.346500  
U286                      AND2X2          gscl45nm        2.815800  
U287                      INVX1           gscl45nm        1.407900  
U288                      OR2X2           gscl45nm        2.815800  
U289                      INVX1           gscl45nm        1.407900  
U290                      OR2X2           gscl45nm        2.815800  
U291                      INVX1           gscl45nm        1.407900  
U292                      OR2X2           gscl45nm        2.815800  
U293                      INVX1           gscl45nm        1.407900  
U294                      OR2X2           gscl45nm        2.815800  
U295                      INVX1           gscl45nm        1.407900  
U296                      AND2X2          gscl45nm        2.815800  
U297                      INVX1           gscl45nm        1.407900  
U298                      BUFX2           gscl45nm        2.346500  
U299                      AND2X2          gscl45nm        2.815800  
U300                      INVX1           gscl45nm        1.407900  
U301                      INVX1           gscl45nm        1.407900  
U302                      AND2X2          gscl45nm        2.815800  
U303                      INVX1           gscl45nm        1.407900  
U304                      INVX1           gscl45nm        1.407900  
U305                      AND2X2          gscl45nm        2.815800  
U306                      INVX1           gscl45nm        1.407900  
U307                      INVX1           gscl45nm        1.407900  
U308                      AND2X2          gscl45nm        2.815800  
U309                      INVX1           gscl45nm        1.407900  
U310                      INVX1           gscl45nm        1.407900  
U311                      INVX1           gscl45nm        1.407900  
U312                      BUFX2           gscl45nm        2.346500  
U313                      OR2X2           gscl45nm        2.815800  
U314                      INVX1           gscl45nm        1.407900  
U315                      INVX1           gscl45nm        1.407900  
U316                      INVX4           gscl45nm        3.285100  
U317                      INVX1           gscl45nm        1.407900  
U318                      INVX2           gscl45nm        1.877200  
U319                      INVX1           gscl45nm        1.407900  
U320                      INVX2           gscl45nm        1.877200  
U321                      BUFX2           gscl45nm        2.346500  
U322                      BUFX2           gscl45nm        2.346500  
U323                      BUFX2           gscl45nm        2.346500  
U324                      BUFX2           gscl45nm        2.346500  
U325                      BUFX2           gscl45nm        2.346500  
U326                      BUFX2           gscl45nm        2.346500  
U327                      BUFX2           gscl45nm        2.346500  
U328                      BUFX2           gscl45nm        2.346500  
U329                      OR2X2           gscl45nm        2.815800  
U330                      INVX1           gscl45nm        1.407900  
U331                      INVX1           gscl45nm        1.407900  
U332                      INVX1           gscl45nm        1.407900  
U333                      OR2X2           gscl45nm        2.815800  
U334                      INVX1           gscl45nm        1.407900  
U335                      INVX1           gscl45nm        1.407900  
U336                      INVX1           gscl45nm        1.407900  
U337                      AND2X2          gscl45nm        2.815800  
U338                      INVX1           gscl45nm        1.407900  
U339                      AND2X2          gscl45nm        2.815800  
U340                      INVX1           gscl45nm        1.407900  
U341                      AND2X2          gscl45nm        2.815800  
U342                      INVX1           gscl45nm        1.407900  
U343                      AND2X2          gscl45nm        2.815800  
U344                      INVX1           gscl45nm        1.407900  
U345                      AND2X2          gscl45nm        2.815800  
U346                      INVX1           gscl45nm        1.407900  
U347                      AND2X2          gscl45nm        2.815800  
U348                      INVX1           gscl45nm        1.407900  
U349                      AND2X2          gscl45nm        2.815800  
U350                      INVX1           gscl45nm        1.407900  
U351                      INVX1           gscl45nm        1.407900  
U352                      AND2X2          gscl45nm        2.815800  
U353                      INVX1           gscl45nm        1.407900  
U354                      AND2X2          gscl45nm        2.815800  
U355                      BUFX2           gscl45nm        2.346500  
U356                      AND2X2          gscl45nm        2.815800  
U357                      INVX1           gscl45nm        1.407900  
U358                      INVX2           gscl45nm        1.877200  
U359                      INVX2           gscl45nm        1.877200  
U360                      INVX1           gscl45nm        1.407900  
U361                      INVX4           gscl45nm        3.285100  
